Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
9596204,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9598563,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9602190,00000040,false,Rx,9,8,27,00,00,FD,00,80,00,00,
9607195,00000040,false,Rx,9,8,13,01,00,00,00,FF,00,00,
9622934,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9626953,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
9632182,00000010,false,Rx,9,4,30,08,00,01,00,00,00,00,
9633076,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9642492,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9645390,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9649392,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
9663212,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9665276,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9667948,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
9669563,00000040,false,Rx,9,5,30,02,00,01,08,00,00,00,
9672014,00000010,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9672703,00000010,false,Rx,9,4,30,01,00,01,00,00,00,00,
9673361,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
9682483,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9685278,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9687417,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
9688393,00000010,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9694742,00000008,false,Rx,9,5,B0,01,02,0C,B6,00,00,00,
9695959,00000008,false,Rx,9,8,10,00,00,00,00,FF,00,00,
9702553,00000040,false,Rx,9,8,90,01,00,00,06,29,00,00,
9704268,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9705563,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9706960,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
9708361,00000010,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9715030,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
9716748,00000008,false,Rx,9,8,10,00,00,01,06,29,00,00,
9718158,00000040,false,Rx,9,8,90,01,00,01,47,22,00,00,
9722525,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9725195,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9728290,00000010,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9735070,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
9736712,00000008,false,Rx,9,8,12,00,00,00,80,00,00,00,
9738269,00000008,false,Rx,9,4,30,02,00,11,00,00,00,00,
9739462,00000040,false,Rx,9,8,13,02,00,00,00,FF,00,00,
9740121,00000010,false,Rx,9,3,B0,11,0C,00,00,00,00,00,
9742471,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9745249,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9748195,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
9749066,00000010,false,Rx,9,5,B0,01,0C,11,0C,00,00,00,
9755337,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9763243,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9765189,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9766908,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
9768732,00000010,false,Rx,9,5,B0,01,0C,11,0C,00,00,00,
9775096,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9782570,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9785240,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9786959,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
9789102,00000010,false,Rx,9,5,B0,01,0C,11,0C,00,00,00,
9790077,00000040,false,Rx,9,5,30,02,00,0E,03,00,00,00,
9792377,00000040,false,Rx,9,5,30,02,00,0D,03,00,00,00,
9792396,00000010,false,Rx,9,3,B0,0E,40,00,00,00,00,00,
9793197,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
9795092,00000010,false,Rx,9,4,30,08,00,14,00,00,00,00,
9795973,00000040,false,Rx,9,5,30,01,00,0D,03,00,00,00,
9796740,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9797506,00000010,false,Rx,9,4,30,08,00,13,00,00,00,00,
9798265,00000040,false,Rx,9,3,B0,14,00,00,00,00,00,00,
9799240,00000040,false,Rx,9,4,B0,93,E5,00,00,00,00,00,
9802547,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9805957,00000040,false,Rx,9,8,B0,01,0C,93,E5,00,14,00,
9807780,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
9810346,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
9815557,00000008,false,Rx,9,5,B0,01,10,0D,00,00,00,00,
9823234,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9825268,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9827940,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
9829020,00000010,false,Rx,9,7,B0,01,0C,11,0C,0E,40,00,
9830101,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
9837249,00001000,true,Rx,9,8,00,00,02,38,00,00,34,B8,
9838628,00001001,true,Rx,9,8,00,00,00,88,00,00,00,00,
9839950,00001002,true,Rx,9,8,00,00,00,00,00,00,00,00,
9835131,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9842693,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9845293,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9848919,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
9855122,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9862622,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9865306,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9868357,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
9869884,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
9875495,00000008,false,Rx,9,7,B0,01,10,0C,B6,0D,00,00,
9883180,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9885215,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9886931,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
9889390,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
9895132,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9903254,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9905300,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9907020,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
9909371,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
9915106,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9922576,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9925350,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9927069,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
9929317,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
9935156,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9943252,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9945290,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9947009,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
9949361,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
9955100,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9962644,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9965320,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9968946,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
9975124,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9982625,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
9985415,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
9988476,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
9989897,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
9995124,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
9996233,00000040,false,Rx,9,8,13,02,00,00,00,FF,14,00,
10002615,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10005919,00000040,false,Rx,9,8,B0,01,0C,93,E5,00,14,00,
10007422,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
10010411,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10015238,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10022605,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10025382,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10027101,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
10029348,00000010,false,Rx,9,7,B0,01,0C,11,0C,0E,40,00,
10030219,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
10035103,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10042576,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10045455,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10047174,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
10049315,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10055172,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10063348,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10065406,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10067126,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
10069371,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10075425,00000008,false,Rx,9,7,B0,01,10,0C,B6,0D,00,00,
10082682,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10085350,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10088871,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10095229,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10103344,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10105392,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10108532,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
10109867,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10115145,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10122620,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10125390,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10127109,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
10129355,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10135082,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10142663,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10145444,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10147162,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
10149406,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10155090,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10162721,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10165436,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10167160,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
10169406,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10175197,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10182753,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10185432,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10187153,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
10189399,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10193728,00000010,false,Rx,9,4,30,08,00,2C,00,00,00,00,
10194632,00000040,false,Rx,9,3,B0,2C,B3,00,00,00,00,00,
10195393,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10202730,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10206039,00000040,false,Rx,9,8,B0,01,0C,93,E5,00,14,00,
10207013,00000040,false,Rx,9,3,B0,2C,B3,00,00,00,00,00,
10210641,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10215191,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10222693,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10225599,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10228542,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
10229621,00000010,false,Rx,9,7,B0,01,0C,11,0C,0E,40,00,
10230829,00000010,false,Rx,9,3,B0,0D,00,00,00,00,00,00,
10235190,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10242710,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10245493,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10247317,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
10249352,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10255213,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10262838,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10265582,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10267324,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
10269369,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10275436,00000008,false,Rx,9,7,B0,01,10,0C,B6,0D,00,00,
10282798,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10284937,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10288987,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10291021,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
10295215,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10302820,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10304871,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10308919,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10313783,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
10315120,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10322781,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10324921,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10328973,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10335177,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10342789,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10344939,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10347888,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
10349522,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10355109,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10362790,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10364948,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10368958,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10371075,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
10375130,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10382817,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10384972,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10389020,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10393980,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
10395134,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10402818,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10405511,00000040,false,Rx,9,8,B0,01,0C,93,E5,00,14,00,
10406482,00000040,false,Rx,9,3,B0,2C,B3,00,00,00,00,00,
10409897,00000010,false,Rx,9,7,B0,01,0C,11,0C,0D,00,00,
10410554,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
10415113,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
10422790,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
10424958,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
10426783,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
10429451,00000010,false,Rx,9,7,B0,01,0C,11,0C,0E,40,00,
