4297725,00000040,false,Rx,9,8,20,00,00,08,00,00,00,00,
4297730,00000040,false,Rx,9,8,20,00,00,08,00,00,00,00,
4297787,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297789,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297792,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297794,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297796,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297798,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297803,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297804,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
4297805,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
4297806,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
4297809,00000040,false,Rx,9,8,23,00,00,08,FC,80,00,00,
4297810,00000008,false,Rx,9,1,A3,00,00,00,00,00,00,00,
4297812,00000010,false,Rx,9,1,A3,00,00,00,00,00,00,00,
4297816,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297818,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
4297818,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
4297819,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
4297823,00000040,false,Rx,9,8,21,00,00,08,FC,80,00,00,
4297824,00000008,false,Rx,9,1,A1,00,00,00,00,00,00,00,
4297824,00000010,false,Rx,9,1,A1,00,00,00,00,00,00,00,
4297828,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297830,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
4297832,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
4297832,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
4297835,00000040,false,Rx,9,8,24,00,00,08,FC,40,00,00,
4297836,00000008,false,Rx,9,1,A4,00,00,00,00,00,00,00,
4297836,00000010,false,Rx,9,1,A4,00,00,00,00,00,00,00,
4297843,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297847,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297852,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297855,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
4297859,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
