Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
6792430,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6799761,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
6813073,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
6814071,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6814624,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6815388,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6816149,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6819776,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
6829827,00000040,false,Rx,9,5,30,02,00,01,08,00,00,00,
6830514,000002B4,false,Rx,9,3,03,00,02,00,00,00,00,00,
6831494,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6832150,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6832913,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6833571,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6837087,00000040,false,Rx,9,7,B0,92,FF,FF,93,E5,00,00,
6840075,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6841685,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
6842767,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6846641,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6851775,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6852454,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6856729,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
6859950,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6861667,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
6862750,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6866950,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
