Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5988724,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
5988748,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
5990646,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
5991308,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
5999277,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
6012177,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
6013196,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6013749,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6014511,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6015277,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6019432,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
6029829,00000040,false,Rx,9,5,30,02,00,01,08,00,00,00,
6030405,000002B4,false,Rx,9,3,03,00,02,00,00,00,00,00,
6031490,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6032146,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6032805,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6033567,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6035920,00000040,false,Rx,9,7,B0,92,FF,FF,93,E5,00,00,
6039438,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6044297,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
6045278,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6045933,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6050591,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6051284,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6055679,00000010,false,Rx,9,3,B0,0E,00,00,00,00,00,00,
6059420,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6060606,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
6061688,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6065526,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6070706,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6071290,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6079361,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6080971,00000008,false,Rx,9,8,12,00,00,FF,80,02,00,00,
6082052,00000010,false,Rx,9,7,B0,01,10,11,10,0D,00,00,
6085466,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
6090685,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
6091355,00000010,false,Rx,9,3,B0,0B,00,00,00,00,00,00,
6099435,00000008,false,Rx,9,3,B0,01,10,00,00,00,00,00,
