Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
8817027,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8821075,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8824170,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8827156,00000040,false,Rx,9,8,27,00,00,FD,00,80,00,00,
8832098,00000040,false,Rx,9,8,13,01,00,00,00,FF,00,00,
8847388,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8851842,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
8857647,00000010,false,Rx,9,4,30,08,00,01,00,00,00,00,
8858739,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
8867418,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8870222,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
8874267,000002BC,false,Rx,9,3,03,00,0B,00,00,00,00,00,
8888029,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8890099,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
8892872,000002B4,false,Rx,9,3,03,00,0A,00,00,00,00,00,
8894481,00000040,false,Rx,9,5,30,02,00,01,08,00,00,00,
8895883,00000010,false,Rx,9,3,B0,01,00,00,00,00,00,00,
8897810,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
8898572,00000010,false,Rx,9,4,30,01,00,01,00,00,00,00,
8907420,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8910222,00000040,false,Rx,9,3,B0,01,0C,00,00,00,00,00,
8912258,000003AC,false,Rx,9,3,03,00,1D,00,00,00,00,00,
8914182,00000010,false,Rx,9,3,B0,01,02,00,00,00,00,00,
8919701,00000008,false,Rx,9,5,B0,01,02,0C,B6,00,00,00,
8920912,00000008,false,Rx,9,8,10,00,00,00,00,FF,00,00,
8927506,00000040,false,Rx,9,8,90,01,00,00,06,29,00,00,
8929252,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8930967,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
8933535,000003A4,false,Rx,9,3,03,00,2C,00,00,00,00,00,
8934295,00000010,false,Rx,9,3,B0,01,02,00,00,00,00,00,
8939931,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
8941652,00000008,false,Rx,9,8,10,00,00,01,06,29,00,00,
8944574,00000040,false,Rx,9,8,90,01,00,01,47,22,00,00,
8947406,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8950200,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
8954037,00000010,false,Rx,9,3,B0,01,02,00,00,00,00,00,
8960034,00000008,false,Rx,9,3,B0,01,02,00,00,00,00,00,
8961670,00000008,false,Rx,9,8,12,00,00,00,80,00,00,00,
8965476,00000008,false,Rx,9,4,30,02,00,11,00,00,00,00,
8965511,00000040,false,Rx,9,8,13,02,00,00,00,FF,00,00,
8965528,00000010,false,Rx,9,3,B0,11,10,00,00,00,00,00,
8967449,000000AA,false,Rx,9,2,AA,04,00,00,00,00,00,00,
8970129,00000040,false,Rx,9,3,B0,01,10,00,00,00,00,00,
8973179,0000029C,false,Rx,9,3,03,00,1A,00,00,00,00,00,
8974915,00000010,false,Rx,9,5,B0,01,02,11,10,00,00,00,
